07/11/18 21:29:40:652 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | __OOBELIB_LOG_FILE__
07/11/18 21:29:40:652 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | Dispatch table loaded from path: /Library/Application Support/Adobe/AdobeGCClient/.//dispatchtable.xml 
07/11/18 21:29:40:653 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | (re)load Local Dispatch Table status-[0].
07/11/18 21:29:40:653 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | Scope : [2]
07/11/18 21:29:40:653 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | Setting scope to GM
07/11/18 21:29:40:654 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 61396 | AdobeIALClient 1.0 Release (build 1.0.6.3) initializing session...
07/11/18 21:29:40:654 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | EndPoint requested: [PostRulesData]
07/11/18 21:29:40:654 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | Length of the URL: [50]
07/11/18 21:29:40:654 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | Returning from getEndpointAddr: [0]
07/11/18 21:29:40:654 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | EndPoint requested: [PostRulesData]
07/11/18 21:29:40:654 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | Length of the URL: [50]
07/11/18 21:29:40:654 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | URL found [https://genuine.adobe.com/server/services/check/v1]
07/11/18 21:29:40:654 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | Returning from getEndpointAddr: [0]
07/11/18 21:29:40:654 | [ERROR] |  |  |  | AdobeGCIALWrapper |  |  | 61396 | Fetching server URL from dispatch table
07/11/18 21:29:40:655 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | Dispatch table loaded from path: /Library/Application Support/Adobe/AdobeGCClient/.//dispatchtable.xml 
07/11/18 21:29:40:655 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | (re)load Local Dispatch Table status-[0].
07/11/18 21:29:40:655 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | Scope : [2]
07/11/18 21:29:40:655 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | Setting scope to GM
07/11/18 21:29:40:655 | [INFO] |  |  |  | AdobeGCIALWrapper |  |  | 61396 | AdobeIALClient 1.0 Release (build 1.0.6.3) initializing session...
07/11/18 21:29:40:655 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | EndPoint requested: [ETSEndPoint]
07/11/18 21:29:40:655 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | Length of the URL: [48]
07/11/18 21:29:40:656 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | Returning from getEndpointAddr: [0]
07/11/18 21:29:40:656 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | EndPoint requested: [ETSEndPoint]
07/11/18 21:29:40:656 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | Length of the URL: [48]
07/11/18 21:29:40:656 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | URL found [https://na1e.services.adobe.com/hsmessaging/rest]
07/11/18 21:29:40:656 | [INFO] |  |  |  | DispatchClientLib |  |  | 61396 | Returning from getEndpointAddr: [0]
07/11/18 21:29:40:656 | [INFO] |  |  |  | AdobeGCClientNSLookup |  |  | 61396 | deleteServerDomainBlockedKeyFromCache 
07/11/18 21:29:40:668 | [INFO] |  |  |  | AdobeGCClientNSLookup |  |  | 61396 | deleteServerAliasBlockedKeyFromCache 
07/11/18 21:29:40:668 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 61396 | Threaded CFU Started
07/11/18 21:29:40:669 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 61396 | Update call started
07/11/18 21:29:40:669 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 61396 | Suppress Update Flag = 0
07/11/18 21:29:40:669 | [INFO] |  |  |  | AdobeGCUpdaterCFU |  |  | 61396 | GC Kill Switch = 0
